,0,1,2
0,0.0,0.0,-1.8533715293884967
1,0.0,0.0,-1.8533715293884967
2,0.0,0.0,-1.8533715293884967
3,2.0,0.0,-2.1327737304194585
4,5.0,0.0,-2.6194495439619487
5,10.0,0.0,-2.687255625310783
6,20.0,0.0,-3.2610193355837005
7,50.0,0.0,-3.804123920673536
8,0.0,0.0,-1.8533715293884967
9,0.0,0.0,-1.8533715293884967
10,0.0,0.0,-1.8533715293884967
11,2.0,0.0,-2.1327737304194585
12,5.0,0.0,-2.6194495439619487
13,10.0,0.0,-2.687255625310783
14,20.0,0.0,-3.2610193355837005
15,50.0,0.0,-3.804123920673536
16,0.0,0.0,-1.8533715293884967
17,0.0,0.0,-1.8533715293884967
18,0.0,0.0,-1.8533715293884967
19,2.0,0.0,-2.1327737304194585
20,5.0,0.0,-2.6194495439619487
21,10.0,0.0,-2.687255625310783
22,20.0,0.0,-3.2610193355837005
23,50.0,0.0,-3.804123920673536
24,0.0,0.2,-3.1913857655772944
25,0.0,0.2,-3.1913857655772944
26,0.0,0.2,-3.1913857655772944
27,2.0,0.2,-4.16096316082033
28,5.0,0.2,-3.6999319834257633
29,10.0,0.2,-2.7332617263337156
30,20.0,0.2,-2.5350493848181017
31,50.0,0.2,-1.6824857388620682
32,0.0,0.5,-2.900453950492164
33,0.0,0.5,-2.900453950492164
34,0.0,0.5,-2.900453950492164
35,2.0,0.5,-2.397093213648887
36,5.0,0.5,-2.5318464446924196
37,10.0,0.5,-0.3227884477621359
38,20.0,0.5,0.8711849835987842
39,50.0,0.5,1.8966776494190203
40,0.0,1.0,-2.9475568279954416
41,0.0,1.0,-2.9475568279954416
42,0.0,1.0,-2.9475568279954416
43,2.0,1.0,-3.0110552235537114
44,5.0,1.0,-3.4915651400730923
45,10.0,1.0,0.35430252233277315
46,20.0,1.0,3.112639297012148
47,50.0,1.0,5.341359381125986
48,0.0,2.0,-3.325307163899609
49,0.0,2.0,-3.325307163899609
50,0.0,2.0,-3.325307163899609
51,2.0,2.0,-3.2546790573362596
52,5.0,2.0,-3.4392550978593484
53,10.0,2.0,-1.6958498782673104
54,20.0,2.0,5.108915034404322
55,50.0,2.0,8.698164265101529
56,0.0,5.0,-3.664850909036778
57,0.0,5.0,-3.664850909036778
58,0.0,5.0,-3.664850909036778
59,2.0,5.0,-3.3121743726831263
60,5.0,5.0,-2.9977844668292923
61,10.0,5.0,-2.8007651532141775
62,20.0,5.0,-2.498275550611872
63,50.0,5.0,11.357285966150064
