,Dose_A,Dose_B,Effect
0,0.0,0.0,1000.0
1,0.5,0.0,825.0
2,1.0,0.0,600.0
3,1.5,0.0,508.0
4,2.0,0.0,458.0
5,2.5,0.0,402.0
6,0.0,8.7,868.0
7,0.5,8.7,493.0
8,1.0,8.7,324.0
9,1.5,8.7,258.0
10,2.0,8.7,217.0
11,2.5,8.7,183.0
12,0.0,17.4,733.0
13,0.5,17.4,367.0
14,1.0,17.4,231.0
15,1.5,17.4,177.0
16,2.0,17.4,135.0
17,2.5,17.4,117.0
18,0.0,26.1,589.0
19,0.5,26.1,262.0
20,1.0,26.1,171.0
21,1.5,26.1,128.0
22,2.0,26.1,100.0
23,2.5,26.1,86.0
24,0.0,34.8,524.0
25,0.5,34.8,223.0
26,1.0,34.8,142.0
27,1.5,34.8,105.0
28,2.0,34.8,81.0
29,2.5,34.8,66.0
30,0.0,43.5,452.0
31,0.5,43.5,184.0
32,1.0,43.5,118.0
33,1.5,43.5,85.0
34,2.0,43.5,68.0
35,2.5,43.5,56.0
36,0.0,0.0,1000.0
37,0.5,0.0,825.0
38,1.0,0.0,600.0
39,1.5,0.0,508.0
40,2.0,0.0,458.0
41,2.5,0.0,402.0
42,0.0,0.0,1000.0
43,0.0,8.7,868.0
44,0.0,17.4,733.0
45,0.0,26.1,589.0
46,0.0,34.8,524.0
47,0.0,43.5,452.0
48,0.0,0.0,1000.0
49,0.5,0.0,825.0
50,1.0,0.0,600.0
51,1.5,0.0,508.0
52,2.0,0.0,458.0
53,2.5,0.0,402.0
54,0.0,0.0,1000.0
55,0.0,8.7,868.0
56,0.0,17.4,733.0
57,0.0,26.1,589.0
58,0.0,34.8,524.0
59,0.0,43.5,452.0
60,0.0,0.0,1000.0
61,0.5,0.0,825.0
62,1.0,0.0,600.0
63,1.5,0.0,508.0
64,2.0,0.0,458.0
65,2.5,0.0,402.0
66,0.0,0.0,1000.0
67,0.0,8.7,868.0
68,0.0,17.4,733.0
69,0.0,26.1,589.0
70,0.0,34.8,524.0
71,0.0,43.5,452.0
72,0.0,0.0,1000.0
73,0.5,0.0,825.0
74,1.0,0.0,600.0
75,1.5,0.0,508.0
76,2.0,0.0,458.0
77,2.5,0.0,402.0
78,0.0,0.0,1000.0
79,0.0,8.7,868.0
80,0.0,17.4,733.0
81,0.0,26.1,589.0
82,0.0,34.8,524.0
83,0.0,43.5,452.0
